__id__,__filename__,text,__id__,__filename__
0,Cartoon Corner: Lets Talk Turkey,cartoon corner,0,Cartoon Corner: Lets Talk Turkey
1,Cartoon Corner: Lets Talk Turkey,Blondie,1,Cartoon Corner: Lets Talk Turkey
2,Cartoon Corner: Lets Talk Turkey,Name ______________________________ 4. Nutrition labels often provide the Percent Daily Value (%DV) of key nutrients in food. These values are usually based on recommendations for a 2000-calorie daily diet. The %DV lists the percentage of the daily recommended amount of the nutrient that will come from 1 serving of the food. ,2,Cartoon Corner: Lets Talk Turkey
3,Cartoon Corner: Lets Talk Turkey,"Use the information shown below for 1 serving of turkey to fi nd the recommended total daily value for fat, cholesterol, and sodium. ",3,Cartoon Corner: Lets Talk Turkey
4,Cartoon Corner: Lets Talk Turkey,Fat 2.5 g (4% DV),4,Cartoon Corner: Lets Talk Turkey
5,Cartoon Corner: Lets Talk Turkey,Cholesterol 55 mg (18% DV),5,Cartoon Corner: Lets Talk Turkey
6,Cartoon Corner: Lets Talk Turkey,Sodium 60 mg (2% DV) c.  Suppose that you eat 5 ounces of white meat. How many calories would you be consuming? Show 2 ways to fi nd the answer.,6,Cartoon Corner: Lets Talk Turkey
7,Cartoon Corner: Lets Talk Turkey,  d.  Suppose you eat 5 ounces of  dark meat. How many calories would you be consuming? Show 2 ways to fi nd the answer.,7,Cartoon Corner: Lets Talk Turkey
8,Cartoon Corner: Lets Talk Turkey,"3. Generally, there are 9 calories in  1 gram of fat; there are 4 calories in 1 gram of protein and 4 calories in 1 gram of carbohydrates. Suppose that 1 serving of turkey contains 19 grams of protein, 2.5 grams of fat, and 0 grams of carbohydrates.",8,Cartoon Corner: Lets Talk Turkey
9,Cartoon Corner: Lets Talk Turkey,"Describe how you would fi nd the total number of calories in 1 serving of this turkey. Then fi nd this amount.  let’s talK tURKeY 1. A general guideline for buying  turkey and allowing for leftovers is to buy 1.25 pounds of turkey for each guest.    a.  Using this guideline, about how  many people will the 9-pound turkey feed?   b.  If Dagwood invites 4 guests for dinner, what size turkey should he purchase? 2. One serving of turkey is about 3 ounces. One serving of white meat contains about 114 calories; 1 serving of dark meat contains about 186 calories.    a.  How many times as many  calories are in 3 ounces of dark meat than are in 3 ounces of white meat?   b.  Complete: 3 ounces of dark  meat has ___% more calories than 3 ounces of white meat.",9,Cartoon Corner: Lets Talk Turkey
10,Cartoon Corner: Lets Talk Turkey,from the November 2013 issue of,10,Cartoon Corner: Lets Talk Turkey
11,Cartoon Corner: Lets Talk Turkey,"Edited by david B. spangler, McGraw-Hill Education, and Katie a. hendrickson, Athens Middle School, Athens, Ohio. Classroom  teachers interested in field-testing or submitting a cartoon should contact david spangler, david.spangler@mheducation.com.  The cartoons must include the date and the newspaper syndicate that holds the copyright.",11,Cartoon Corner: Lets Talk Turkey
12,Cartoon Corner: Lets Talk Turkey,"solUtions 1.  a. 9 ÷ 1.25 = 7.2, so about 7 people  should be fed.",12,Cartoon Corner: Lets Talk Turkey
13,Cartoon Corner: Lets Talk Turkey,"  b.  Because Dagwood will be eating  too, 5 people will be at dinner. Thus, 5 × 1.25 = 6.25, so  Dagwood needs a 6.25 pound turkey.",13,Cartoon Corner: Lets Talk Turkey
14,Cartoon Corner: Lets Talk Turkey,"2.  a.  186 ÷ 114 ≈ 1.63, so 3 ounces of dark meat has about 1.63 times as many calories as 3 ounces of white meat.    b.  Because 186 is about 1.63 times as great as 114, it is 63% larger than 114; 3 ounces of dark meat has about 63% more calories.",14,Cartoon Corner: Lets Talk Turkey
15,Cartoon Corner: Lets Talk Turkey,"c.  Methods will vary.    Method 1: 114 calories are in  3 ounces; therefore, 114 ÷ 3, or  38, calories are in 1 ounce;  5 × 38, or 190, calories are in  5 ounces of white meat.  Method 2: Solve the proportion 3/114 = 5/x to obtain x = 190.",15,Cartoon Corner: Lets Talk Turkey
16,Cartoon Corner: Lets Talk Turkey,"  d.  Methods will vary.    Method 1: Because dark meat has 1.63 times as many calories as white meat, multiply the number of calories in 5 ounces of white meat by 1.63 to find 1.63 × 190 = 309.7, or about 310 calories in 5 ounces of dark meat.  Method 2: Solve the proportion 3/186 = 5/x to obtain x = 310, or 310 calories in 5 ounces of dark meat.  3.  Sample method: Multiply grams by  calories to obtain the number of calories in a particular nutrient. Then find the sum.    Fat: 2.5 grams × 9 calories       = 22.5 calories    Protein: 19 grams × 4 calories       = 76 calories    Carbohydrates: 0 grams ×       4 calories = 0 calories    22.5 + 76 + 0 = 98.5; therefore,  98.5 calories are in 1 serving.",16,Cartoon Corner: Lets Talk Turkey
17,Cartoon Corner: Lets Talk Turkey,"4.  Fat: Solve the percent proportion  2.5/x = 4/100, or the equation 0.04(x) = 2.5, to obtain 62.5 grams for the total daily value.",17,Cartoon Corner: Lets Talk Turkey
18,Cartoon Corner: Lets Talk Turkey,"  Cholesterol: Solve 55/x = 18/100,  or 0.18( x) = 55, to obtain about 305.6 mg.    Sodium: Solve 60/x = 2/100, or 0.02(x) = 60, to obtain 3000 mg.",18,Cartoon Corner: Lets Talk Turkey
19,Cartoon Corner: Lets Talk Turkey,INSPIRING TEACHERS. ENGAGING STUDENTS. BUILDING THE FUTURE. ,19,Cartoon Corner: Lets Talk Turkey
20,Cartoon Corner: Lets Talk Turkey,Let NCTM Help You Make Your Job Easier!,20,Cartoon Corner: Lets Talk Turkey
21,Cartoon Corner: Lets Talk Turkey,We have the resources to meet your challenges.,21,Cartoon Corner: Lets Talk Turkey
22,Cartoon Corner: Lets Talk Turkey,  O F   O F   O F   O F,22,Cartoon Corner: Lets Talk Turkey
23,Cartoon Corner: Lets Talk Turkey,I O N A L,23,Cartoon Corner: Lets Talk Turkey
24,Cartoon Corner: Lets Talk Turkey,I O N A L,24,Cartoon Corner: Lets Talk Turkey
25,Cartoon Corner: Lets Talk Turkey,I O N A L,25,Cartoon Corner: Lets Talk Turkey
26,Cartoon Corner: Lets Talk Turkey,I O N A L   C O U N C I   C O U N C I   C O U N C I   C O U N C I   M A T H E M A T   M A T H E M A T   M A T H E M A T   M A T H E M A T,26,Cartoon Corner: Lets Talk Turkey
27,Cartoon Corner: Lets Talk Turkey,T E A C H E R S   O F,27,Cartoon Corner: Lets Talk Turkey
28,Cartoon Corner: Lets Talk Turkey,T E A C H E R S   O F,28,Cartoon Corner: Lets Talk Turkey
29,Cartoon Corner: Lets Talk Turkey,T E A C H E R S   O F,29,Cartoon Corner: Lets Talk Turkey
