__id__,__filename__,text,,
0,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,"Deadline to submit student work extended to June 1, 2016.",,
1,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,A computer can quickly calculate:,,
2,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,42 × 43 × 44 × 45 × 46 × 47 × 48 × 49 × 50 × 51 × 52,,
3,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,,,
4,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,"1. Without multiplying all the factors together, why does it make sense that the product ends with 3 zeroes?",,
5,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,2. Predict how many zeroes will be at the end of products of each of the following sets of factors. Explain how you made your prediction.,,
6,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,a. 5 × 6 × 7 × 8 × 9 × 10,,
7,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,b. 71 × 72 × 73 × 74 × 75 × 76 × 77 × 78 × 79 × 80,,
8,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,c. 200 × 201 × 202 × 203 × 204 × 205 × 206 × 207 × 208 × 209 × 210  × 211 × 212 × … × 230,,
9,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,CCSSM: 6.NS.4; 5.NBT.2,,
10,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,"SMP: 1, 3, 7, 8",,
11,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,"We encourage classroom teachers to pose this problem to their students and submit creative solutions to share with our readers. Please include a brief analysis of the specific strategy; examples of original student work or high-quality digital images (include signed release for student work found at http://www.nctm.org/pubsforms/), and your name, the school name and address, and your email address. Email submissions to Jo Ann Cady at jcady@utk.edu, by May 15, 2016. Selected student work will be published and credited to the student by first name.",,
12,How Many Zeroes at the End_ - National Council of Teachers of Mathematics,,,
