__id__,__filename__,text,__id__,__filename__
0,Math for Real: The Top Speed for Humans,MATH TOPICS ADDRESSED: • Ratio and proportion • Rates of change • Modeling • Unit conversions,0,Math for Real: The Top Speed for Humans
1,Math for Real: The Top Speed for Humans,The Top Speed for Humans,1,Math for Real: The Top Speed for Humans
2,Math for Real: The Top Speed for Humans,"How fast can the fastest human run? How long can he or she sustain a top speed? Let’s take a look at the world records in the 100 m, 200 m, and  400 m races.",2,Math for Real: The Top Speed for Humans
3,Math for Real: The Top Speed for Humans,"1.  Complete the table at right and calculate the average speed in each race, first by working in meters per second and then in kilometers per hour.",3,Math for Real: The Top Speed for Humans
4,Math for Real: The Top Speed for Humans,"Alessandra King 2.  According to the table, in which race(s) did a human reach his or her top speed? How do the speeds in the races compare? Why do you think that is the case?  3.  On your own, investigate the average speed for the 800 m, 1600 m, and marathon for 1 year. How do the speeds in the different races compare? What information about human speed and endurance can you determine from this information?",4,Math for Real: The Top Speed for Humans
5,Math for Real: The Top Speed for Humans,"Edited by Fred Dillon, dillon314@ sbcglobal.net, a math educator from Strongsville, Ohio, and Kevin Dykema, k.dykema@mattawanschool.org, in  Mattawan, Michigan. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net. ",5,Math for Real: The Top Speed for Humans
6,Math for Real: The Top Speed for Humans,Athlete,6,Math for Real: The Top Speed for Humans
7,Math for Real: The Top Speed for Humans,Date,7,Math for Real: The Top Speed for Humans
8,Math for Real: The Top Speed for Humans,Event Usain Bolt 2009 100 m,8,Math for Real: The Top Speed for Humans
9,Math for Real: The Top Speed for Humans,Usain Bolt 2009 200 m,9,Math for Real: The Top Speed for Humans
10,Math for Real: The Top Speed for Humans,Michael Johnson 1999 400 m 1988 100 m,10,Math for Real: The Top Speed for Humans
11,Math for Real: The Top Speed for Humans,F. Griffith Joyner,11,Math for Real: The Top Speed for Humans
12,Math for Real: The Top Speed for Humans,F. Griffith Joyner 1988 200 m 1985 400 m,12,Math for Real: The Top Speed for Humans
13,Math for Real: The Top Speed for Humans,Marita Koch,13,Math for Real: The Top Speed for Humans
14,Math for Real: The Top Speed for Humans,World Record(s),14,Math for Real: The Top Speed for Humans
15,Math for Real: The Top Speed for Humans,Average Speed (m/s),15,Math for Real: The Top Speed for Humans
16,Math for Real: The Top Speed for Humans,Average ,16,Math for Real: The Top Speed for Humans
17,Math for Real: The Top Speed for Humans,"Speed (km/h) 9:58 19:19 43:18 10:49 21:34 47:60 4.  The table gives the average speed  for Usain Bolt and Florence Griffith Joyner in the 100 m. Make a sketch of distance (horizontal axis) versus speed (vertical axis) that shows how you think each individual will run this race and when he or she will reach his or her top speed. Explain.  5.  The top human average speed is  achieved in the 150 m dash, a race that is rarely run. The record for this race is held by Usain Bolt, who ran it in 14.35 s. What is this speed in m/s and km/h?  6.  Apart from Bolt’s times, the other records have been in place for over 15 years. What conclusion(s) can you draw from this information? 7.  These are all average speeds   over given distances. However, speeds recorded for very short bursts (sometimes referred to as  instantaneous rates) can be greater. Research the top recorded speeds. Under what conditions could these numbers have been reached?",17,Math for Real: The Top Speed for Humans
18,Math for Real: The Top Speed for Humans,"Alessandra King, alessandra.king@ holton-arms.edu, studies mathematics  with her students at the Holton-Arms School in Bethesda, Maryland. She has taught mathematics and physics at the middle school and upper school levels and is interested in creative problem solving, critical thinking, and quantitative reasoning.",18,Math for Real: The Top Speed for Humans
19,Math for Real: The Top Speed for Humans,Download one of the free apps for your smartphone. Then scan this tag to access the solutions to Math for Real that are online at  http://www.nctm.org/mtms073.,19,Math for Real: The Top Speed for Humans
20,Math for Real: The Top Speed for Humans,Back to School with New Books from NCTM!,20,Math for Real: The Top Speed for Humans
21,Math for Real: The Top Speed for Humans,NCTM Members Save 25%! Use code MTMS814 when placing order.  Offer expires 10/31/14.*,21,Math for Real: The Top Speed for Humans
22,Math for Real: The Top Speed for Humans,NEW SERIES!,22,Math for Real: The Top Speed for Humans
23,Math for Real: The Top Speed for Humans,Putting Essential,23,Math for Real: The Top Speed for Humans
24,Math for Real: The Top Speed for Humans,Understanding of Functions into,24,Math for Real: The Top Speed for Humans
25,Math for Real: The Top Speed for Humans,Practice in Grades 9–12,25,Math for Real: The Top Speed for Humans
26,Math for Real: The Top Speed for Humans,BARBARA,26,Math for Real: The Top Speed for Humans
27,Math for Real: The Top Speed for Humans,"DOUGHERTY, SERIES EDITOR",27,Math for Real: The Top Speed for Humans
28,Math for Real: The Top Speed for Humans,"BY ROBERT RONAU,",28,Math for Real: The Top Speed for Humans
29,Math for Real: The Top Speed for Humans,"DAN MEYER, AND TERRY CRITES",29,Math for Real: The Top Speed for Humans
30,Math for Real: The Top Speed for Humans,Maximize the potential of student-centered learning and teaching by putting essential understanding into practice.,30,Math for Real: The Top Speed for Humans
31,Math for Real: The Top Speed for Humans,"©2014, Stock # 14346     ",31,Math for Real: The Top Speed for Humans
32,Math for Real: The Top Speed for Humans,Middle School Titles in the Best-Selling ESSENTIAL,32,Math for Real: The Top Speed for Humans
33,Math for Real: The Top Speed for Humans,UNDERSTANDING Series,33,Math for Real: The Top Speed for Humans
34,Math for Real: The Top Speed for Humans,"ROSE MARY ZBIEK, SERIES EDITOR ",34,Math for Real: The Top Speed for Humans
35,Math for Real: The Top Speed for Humans,Geometry 6–8,35,Math for Real: The Top Speed for Humans
36,Math for Real: The Top Speed for Humans,BY NATHALIE,36,Math for Real: The Top Speed for Humans
37,Math for Real: The Top Speed for Humans,"SINCLAIR, DAVID",37,Math for Real: The Top Speed for Humans
38,Math for Real: The Top Speed for Humans,"PIMM, AND",38,Math for Real: The Top Speed for Humans
39,Math for Real: The Top Speed for Humans,"MELANIE SKELIN © 2012, Stock #14122",39,Math for Real: The Top Speed for Humans
40,Math for Real: The Top Speed for Humans,"Expressions,",40,Math for Real: The Top Speed for Humans
41,Math for Real: The Top Speed for Humans,"Equations, and",41,Math for Real: The Top Speed for Humans
42,Math for Real: The Top Speed for Humans,Functions for,42,Math for Real: The Top Speed for Humans
43,Math for Real: The Top Speed for Humans,Grades 6–8,43,Math for Real: The Top Speed for Humans
44,Math for Real: The Top Speed for Humans,BY GWENDOLYN,44,Math for Real: The Top Speed for Humans
45,Math for Real: The Top Speed for Humans,"LLOYD, BETH HERBEL EISENMANN, AND JON R. STAR © 2011, Stock #13798",45,Math for Real: The Top Speed for Humans
46,Math for Real: The Top Speed for Humans,"Ratios, Proportions, and",46,Math for Real: The Top Speed for Humans
47,Math for Real: The Top Speed for Humans,Proportional Reasoning for Grades 6–8,47,Math for Real: The Top Speed for Humans
48,Math for Real: The Top Speed for Humans,"BY JOANNE LOBATO AND AMY B. ELLIS © 2010,  Stock #13482",48,Math for Real: The Top Speed for Humans
49,Math for Real: The Top Speed for Humans,Statistics for Teaching,49,Math for Real: The Top Speed for Humans
50,Math for Real: The Top Speed for Humans,Mathematics in Grades 6–8,50,Math for Real: The Top Speed for Humans
51,Math for Real: The Top Speed for Humans,"BY GARY KADER, TIM JACOBBE, AND",51,Math for Real: The Top Speed for Humans
52,Math for Real: The Top Speed for Humans,"PATRICIA WILSON ©2013, Stock # 13800",52,Math for Real: The Top Speed for Humans
53,Math for Real: The Top Speed for Humans,NEW from NCTM,53,Math for Real: The Top Speed for Humans
54,Math for Real: The Top Speed for Humans,NEW Math Is a,54,Math for Real: The Top Speed for Humans
55,Math for Real: The Top Speed for Humans,Verb: Activities and,55,Math for Real: The Top Speed for Humans
56,Math for Real: The Top Speed for Humans,Lessons from Cultures,56,Math for Real: The Top Speed for Humans
57,Math for Real: The Top Speed for Humans,Around the World,57,Math for Real: The Top Speed for Humans
58,Math for Real: The Top Speed for Humans,"BY JIM BARTA, RON EGLASH, AND",58,Math for Real: The Top Speed for Humans
59,Math for Real: The Top Speed for Humans,CATHY BARKLEY “Mathematics is a verb!,59,Math for Real: The Top Speed for Humans
60,Math for Real: The Top Speed for Humans,"In Ute we do not have one just word to describe mathematics—rather, we name it we use it. When we count, build, design, cook, hunt, or fish, we are doing mathematics.”",60,Math for Real: The Top Speed for Humans
61,Math for Real: The Top Speed for Humans,FABIAN JENKS Northern Ute elder from Fort,61,Math for Real: The Top Speed for Humans
62,Math for Real: The Top Speed for Humans,"Duchesne, Utah",62,Math for Real: The Top Speed for Humans
63,Math for Real: The Top Speed for Humans,Bring your mathematics instruction to life with activities and lessons from around the world.,63,Math for Real: The Top Speed for Humans
64,Math for Real: The Top Speed for Humans,"©2014, Stock # 14326     ",64,Math for Real: The Top Speed for Humans
65,Math for Real: The Top Speed for Humans,NEW Mathematics,65,Math for Real: The Top Speed for Humans
66,Math for Real: The Top Speed for Humans,"Lessons Learned from Across the World, Pre-Kindergarten–",66,Math for Real: The Top Speed for Humans
67,Math for Real: The Top Speed for Humans,Grade 8,67,Math for Real: The Top Speed for Humans
68,Math for Real: The Top Speed for Humans,EDITED BY JOHNNY W. LOTT AND,68,Math for Real: The Top Speed for Humans
69,Math for Real: The Top Speed for Humans,CAROLYN J. LOTT,69,Math for Real: The Top Speed for Humans
70,Math for Real: The Top Speed for Humans,Mathematics Is a Universal Language—,70,Math for Real: The Top Speed for Humans
71,Math for Real: The Top Speed for Humans,"A Trip around the World in Math Lessons © 2014, Stock # 14574",71,Math for Real: The Top Speed for Humans
72,Math for Real: The Top Speed for Humans,NEW SERIES!,72,Math for Real: The Top Speed for Humans
73,Math for Real: The Top Speed for Humans,"FRANCES CURCIO, SERIES EDITOR",73,Math for Real: The Top Speed for Humans
74,Math for Real: The Top Speed for Humans,Implementing the,74,Math for Real: The Top Speed for Humans
75,Math for Real: The Top Speed for Humans,Common Core State,75,Math for Real: The Top Speed for Humans
76,Math for Real: The Top Speed for Humans,Standards through,76,Math for Real: The Top Speed for Humans
77,Math for Real: The Top Speed for Humans,Mathematical,77,Math for Real: The Top Speed for Humans
78,Math for Real: The Top Speed for Humans,Problem Solving:,78,Math for Real: The Top Speed for Humans
79,Math for Real: The Top Speed for Humans,Grades 6–8,79,Math for Real: The Top Speed for Humans
80,Math for Real: The Top Speed for Humans,"BY THERESA GURL, ALICE ARTZT, AND",80,Math for Real: The Top Speed for Humans
81,Math for Real: The Top Speed for Humans,"ALAN SULTAN ©2013, Stock # 14328",81,Math for Real: The Top Speed for Humans
82,Math for Real: The Top Speed for Humans,Find more titles in this series at www.nctm.org/catalog,82,Math for Real: The Top Speed for Humans
83,Math for Real: The Top Speed for Humans,FIVE GROUNDBREAKING,83,Math for Real: The Top Speed for Humans
84,Math for Real: The Top Speed for Humans,"PRACTICES, TWO KEY STEM",84,Math for Real: The Top Speed for Humans
85,Math for Real: The Top Speed for Humans,SUBJECTS,85,Math for Real: The Top Speed for Humans
86,Math for Real: The Top Speed for Humans,"NEW!  The science version of the best-selling book. Learn the ﬁve practices for facilitating effective inquiry-oriented classrooms, in math and now in science.",86,Math for Real: The Top Speed for Humans
87,Math for Real: The Top Speed for Humans,5 Practices for,87,Math for Real: The Top Speed for Humans
88,Math for Real: The Top Speed for Humans,Orchestrating,88,Math for Real: The Top Speed for Humans
89,Math for Real: The Top Speed for Humans,Productive TaskBased Discussions in Science,89,Math for Real: The Top Speed for Humans
90,Math for Real: The Top Speed for Humans,"BY JENNIFER CARTIER, MARGARET SCHWAN",90,Math for Real: The Top Speed for Humans
91,Math for Real: The Top Speed for Humans,"SMITH, MARY KAY STEIN, AND DANIELLE ROSS",91,Math for Real: The Top Speed for Humans
92,Math for Real: The Top Speed for Humans,FOREWORD BY MARK WINDSCHITL,92,Math for Real: The Top Speed for Humans
93,Math for Real: The Top Speed for Humans,"Copublished with NSTA Press ©2013, Stock # 14576",93,Math for Real: The Top Speed for Humans
94,Math for Real: The Top Speed for Humans,NCTM’s BEST-SELLING,94,Math for Real: The Top Speed for Humans
95,Math for Real: The Top Speed for Humans,BOOK! 5 Practices for,95,Math for Real: The Top Speed for Humans
96,Math for Real: The Top Speed for Humans,Orchestrating,96,Math for Real: The Top Speed for Humans
97,Math for Real: The Top Speed for Humans,Productive,97,Math for Real: The Top Speed for Humans
98,Math for Real: The Top Speed for Humans,Mathematics,98,Math for Real: The Top Speed for Humans
99,Math for Real: The Top Speed for Humans,Discussions,99,Math for Real: The Top Speed for Humans
100,Math for Real: The Top Speed for Humans,BY MARY KAY STEIN,100,Math for Real: The Top Speed for Humans
101,Math for Real: The Top Speed for Humans,AND MARGARET,101,Math for Real: The Top Speed for Humans
102,Math for Real: The Top Speed for Humans,"SCHWAN SMITH ©2011, Stock # 13953",102,Math for Real: The Top Speed for Humans
103,Math for Real: The Top Speed for Humans,NEW Annual,103,Math for Real: The Top Speed for Humans
104,Math for Real: The Top Speed for Humans,Perspectives in,104,Math for Real: The Top Speed for Humans
105,Math for Real: The Top Speed for Humans,Mathematics,105,Math for Real: The Top Speed for Humans
106,Math for Real: The Top Speed for Humans,Education (APME) 2014: Using,106,Math for Real: The Top Speed for Humans
107,Math for Real: The Top Speed for Humans,Research to Improve,107,Math for Real: The Top Speed for Humans
108,Math for Real: The Top Speed for Humans,Instruction,108,Math for Real: The Top Speed for Humans
109,Math for Real: The Top Speed for Humans,EDITORIAL PANEL: KAREN KARP (ISSUE,109,Math for Real: The Top Speed for Humans
110,Math for Real: The Top Speed for Humans,"EDITOR), AMY ROTH",110,Math for Real: The Top Speed for Humans
111,Math for Real: The Top Speed for Humans,MCDUFFIE (SERIES,111,Math for Real: The Top Speed for Humans
112,Math for Real: The Top Speed for Humans,"EDITOR), BARBARA",112,Math for Real: The Top Speed for Humans
113,Math for Real: The Top Speed for Humans,"DOUGHERTY, FRANCIS (SKIP) FENNELL, ELHAM",113,Math for Real: The Top Speed for Humans
114,Math for Real: The Top Speed for Humans,"KAZEMI, MATT LARSON, TRAVIS OLSON, NELSON",114,Math for Real: The Top Speed for Humans
115,Math for Real: The Top Speed for Humans,"PALMER, AND CHRISTINE SUURTAMM ©2014, Stock # 14774",115,Math for Real: The Top Speed for Humans
116,Math for Real: The Top Speed for Humans,"All books available as  .  *This offer reﬂects an additional 5% savings off list price, in addition to your regular 20% member discount. ",116,Math for Real: The Top Speed for Humans
117,Math for Real: The Top Speed for Humans,Visit www.nctm.org/catalog for tables of content and sample pages.,117,Math for Real: The Top Speed for Humans
118,Math for Real: The Top Speed for Humans,"For more information or to place an order,  please call (800) 235-7566 or visit www.nctm.org/catalog.",118,Math for Real: The Top Speed for Humans
119,Math for Real: The Top Speed for Humans,Great Math at Your Doorstep,119,Math for Real: The Top Speed for Humans
120,Math for Real: The Top Speed for Humans,"Join us in Indianapolis, Richmond, or Houston for NCTM’s 2014 Regional Conferences & Expositions, our signature fall math education events.   (cid:127)  Explore standards-based instruction and best practices for  implementing the Common Core State Standards and other college- and career-ready standards   (cid:127)  Learn the most effective teaching practices to support students’ learning, along with the supports required to implement them, as described in NCTM’s new publication, Principles to Actions: Ensuring Mathematical Success for All   (cid:127)  Discover ways to include 21st-century learning in the math classroom   (cid:127)  Examine new and effective differentiated instruction methods   (cid:127) Reﬁ ne your assessment techniques",120,Math for Real: The Top Speed for Humans
121,Math for Real: The Top Speed for Humans,"Whether you’re a classroom teacher, administrator, new teacher, or math coach, there’s something for you at NCTM’s Regional Conferences.",121,Math for Real: The Top Speed for Humans
122,Math for Real: The Top Speed for Humans,Visit www.nctm.org/regionals for up to date information and follow us on,122,Math for Real: The Top Speed for Humans
