__id__,__filename__,text,__id__,__filename__
0,Picturing Infinite Fraction Sums,BY RON LARSON AND LAURIE BOSWELL,0,Picturing Infinite Fraction Sums
1,Picturing Infinite Fraction Sums,"Introducing Big Ideas Math: Modeling Real Life,",1,Picturing Infinite Fraction Sums
2,Picturing Infinite Fraction Sums,A NEW K–8 MATH PROGRAM! ,2,Picturing Infinite Fraction Sums
3,Picturing Infinite Fraction Sums,"This program embraces the latest in educational research, incorporating ● learning targets and success  criteria, ● self-assessments, ● problem solving in the  classroom, and ● spaced practice.",3,Picturing Infinite Fraction Sums
4,Picturing Infinite Fraction Sums,Contact Big Ideas Learning  for more information at  877-552-7766 or visit us online at,4,Picturing Infinite Fraction Sums
5,Picturing Infinite Fraction Sums,BigIdeasLearning.com.,5,Picturing Infinite Fraction Sums
6,Picturing Infinite Fraction Sums,"“National Geographic”, “National Geographic Society” and the Yellow Border Design  are registered trademarks of the National Geographic Society ® Marcas Registradas solve it little problems with big solutions",6,Picturing Infinite Fraction Sums
7,Picturing Infinite Fraction Sums,Annie Perkins and Christy Pettis,7,Picturing Infinite Fraction Sums
8,Picturing Infinite Fraction Sums,Picturing Infinite Fraction Sums,8,Picturing Infinite Fraction Sums
9,Picturing Infinite Fraction Sums,Page 246,9,Picturing Infinite Fraction Sums
10,Picturing Infinite Fraction Sums,Name,10,Picturing Infinite Fraction Sums
11,Picturing Infinite Fraction Sums,Full page 1.  Finish the pictures to show:  × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 3.   Create your own picture to show:  × 1 × 1 × 1 2.  Create pictures to show: × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 × 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + ⋅⋅⋅ + ⋅⋅⋅ + ⋅⋅⋅ + ⋅⋅⋅ + ⋅⋅⋅ + ⋅⋅⋅  Extension 4.   Create a picture to show 0.11111… Hint: Write out 0.11111… as a  sum of fractions.,11,Picturing Infinite Fraction Sums
12,Picturing Infinite Fraction Sums,5.   Create a picture to show 0.33333… ,12,Picturing Infinite Fraction Sums
13,Picturing Infinite Fraction Sums,"We encourage classroom teachers to pose these  problems to students and share their creative solutions. Please include a brief analysis of the specific strategy; examples of original student work or high-quality digital images (include a signed release for student work, found at http://www.nctm.",13,Picturing Infinite Fraction Sums
14,Picturing Infinite Fraction Sums,"org/pubsforms/); and your name, the school name and address, and your email  address. Email submissions  to Annie Perkins at annie.k.perkins@gmail.com, and Christy Pettis at christy.",14,Picturing Infinite Fraction Sums
15,Picturing Infinite Fraction Sums,"pettis@gmail.com, by  April 15, 2018. Selected  student work will be published and credited by first name. ",15,Picturing Infinite Fraction Sums
16,Picturing Infinite Fraction Sums,Imagine if your devices SPOKE MATH.  “Woot Math gives instant insight into my students' understanding with actual examples of student work.,16,Picturing Infinite Fraction Sums
17,Picturing Infinite Fraction Sums,"I love that I can share examples and have my students pinpoint mistakes. There are a lot of 'a-ha' moments as students see what they did wrong & ﬁx misconceptions.”   – Leslie Pritchard, Middle School math teacher “My students absolutely LOVE Woot Math! I love hearing the excitement in their voice as they say “I got a WOOT!” And Woot Math has absolutely helped them work with fractions. On a recent test my students scored a 99% on all questions related to fraction deﬁnition & unit fractions”   – Sara Penley, 5th Grade teacher “Woot Math enabled my students to see that they are not alone in their math struggles and confusions and this promoted a more courageous attitude and turned mistakes into learning opportunities.”   – Andrew Scott, High School math teacher",17,Picturing Infinite Fraction Sums
18,Picturing Infinite Fraction Sums,Visit wootmath.com today and discover why teachers and their students love Woot Math! ,18,Picturing Infinite Fraction Sums
19,Picturing Infinite Fraction Sums,FREE for Teachers + Students contact.us@wootmath.com wootmath.com,19,Picturing Infinite Fraction Sums
